sql,num_tables,num_joins,num_filters,num_subqueries,subquery_depth,num_aggregates,has_groupby,has_orderby,has_limit,select_star,window_functions,udf_usage,s3_scan,cartesian_join,query_length,estimated_table_size_max,estimated_join_output,estimated_output_rows,estimated_sort_cost,select_star_columns_estimate,label
"SELECT t1.user_id, t1.event_id, t0.ts, COUNT(t1.event_id) FROM huge_events t0 LEFT JOIN huge_events t1 ON t0.user_id = t1.user_id LEFT JOIN mid_table t2 ON t0.event_id = t2.id WHERE t0.user_id = 684 AND t2.col1 IS NOT NULL GROUP BY t0.user_id HAVING COUNT(1) > 10 ORDER BY t0.payload DESC LIMIT 100 ",2,2,1,0,1,2,1,1,1,0,0,0,0,0,298,50000000,250000,12500,170120.50593046015,0,2
"SELECT t0.order_date, MAX(t0.order_date) FROM orders t0 GROUP BY t0.order_date ",1,0,0,0,1,1,1,0,0,0,0,0,0,0,78,7000000,7000000,350000,6445948.388773045,0,2
"SELECT t0.value, t0.ts, t0.id, MIN(t0.id) FROM small_table t0 WHERE t0.id = 71 AND t0.value IS NOT NULL GROUP BY t0.value LIMIT 50 ",1,0,1,0,1,1,1,0,1,0,0,0,0,0,130,100,10,1,0.0,0,0
"SELECT t0.id, MAX(t0.ts) FROM small_table t0 INNER JOIN small_table t1 ON t0.id = t1.id WHERE t1.value IS NOT NULL AND t1.value IS NOT NULL LIMIT 100 ",1,1,1,0,1,1,0,0,1,0,0,0,0,0,149,100,10,10,33.219280948873624,0,0
"SELECT t0.region, t0.name, t0.created_at, t0.user_id, MIN(t0.created_at) FROM user_master t0 GROUP BY t0.region LIMIT 50 ",1,0,0,0,1,1,1,0,1,0,0,0,0,0,120,1000000,1000000,50000,780482.0237218406,0,1
"SELECT t0.id, t0.value, t0.ts FROM small_table t0 WHERE t0.ts > '2021-01-01' LIMIT 10 ",1,0,1,0,0,0,0,0,1,0,0,0,0,0,85,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t1.ts, COUNT(t0.id) FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id GROUP BY t0.id ",1,1,0,0,1,1,1,0,0,0,0,0,0,0,111,100,100,5,11.60964047443681,0,1
"SELECT t0.id, AVG(t0.id) FROM small_table t0 LIMIT 1000 ",1,0,0,0,1,1,0,0,1,0,0,0,0,0,55,100,100,100,664.3856189774724,0,0
"SELECT t1.ts FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id WHERE t0.value IS NOT NULL AND t0.id IN (87,84,7,42) AND t1.value IS NOT NULL ORDER BY t1.value DESC LIMIT 100 ",1,1,2,0,1,0,0,1,1,0,0,0,0,0,186,100,10,10,33.219280948873624,0,0
"SELECT t0.ts, COUNT(t0.id) FROM small_table t0 GROUP BY t0.ts ORDER BY t0.value DESC LIMIT 10 ",1,0,0,0,1,1,1,1,1,0,0,0,0,0,93,100,100,5,11.60964047443681,0,0
"SELECT t0.value, t0.ts, SUM(t0.id) FROM small_table t0 WHERE t0.id IN (47,57,33,68) GROUP BY t0.id LIMIT 10 ",1,0,1,0,1,1,1,0,1,0,0,0,0,0,107,100,10,1,0.0,0,0
"SELECT t0.ts FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id WHERE t1.id IN (64,45) AND t1.ts > '2021-01-01' LIMIT 100 ",1,1,1,0,1,0,0,0,1,0,0,0,0,0,133,100,10,10,33.219280948873624,0,0
"SELECT t0.ts, t0.value, t0.id, MIN(t0.id) FROM small_table t0 ORDER BY t0.ts DESC ",1,0,0,0,1,1,0,1,0,0,0,0,0,0,81,100,100,100,664.3856189774724,0,0
"SELECT t1.value, t1.id, t0.month FROM dim_date t0 LEFT JOIN small_table t1 ON t0.date = t1.id ORDER BY t1.id DESC LIMIT 10 ",2,1,0,0,0,0,0,1,1,0,0,0,0,0,122,3650,3650,3650,43192.93473258981,0,0
"SELECT t0.ts, COUNT(t0.id) FROM small_table t0 GROUP BY t0.ts ORDER BY t0.ts DESC ",1,0,0,0,1,1,1,1,0,0,0,0,0,0,81,100,100,5,11.60964047443681,0,1
SELECT t0.id FROM small_table t0 ORDER BY t0.id DESC LIMIT 50 ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,61,100,100,100,664.3856189774724,0,0
"SELECT t0.ts, t0.event_id FROM clickstream t0 RIGHT JOIN orders t1 ON t0.user_id = t1.user_id WHERE t0.event_id = 429 LIMIT 10 ",2,1,1,0,0,0,0,0,1,0,0,0,0,0,126,20000000,2000000,2000000,41863137.138648346,0,2
"SELECT t1.ts, AVG(t0.ts) FROM small_table t0 INNER JOIN small_table t1 ON t0.id = t1.id WHERE t0.ts BETWEEN '2020-01-01' AND '2022-12-31' GROUP BY t0.id ORDER BY t1.value DESC LIMIT 1000 ",1,1,1,0,1,1,1,1,1,0,0,0,0,0,186,100,10,1,0.0,0,1
"SELECT t0.value, t0.ts, MIN(t0.id) FROM small_table t0 WHERE t0.value IS NOT NULL GROUP BY t0.value HAVING COUNT(1) > 10 LIMIT 100 ",1,0,1,0,1,2,1,0,1,0,0,0,0,0,130,100,10,1,0.0,0,0
"SELECT t0.user_id, t0.region, t0.name, COUNT(t1.event_id) FROM user_master t0 RIGHT JOIN huge_events t1 ON t0.user_id = t1.user_id WHERE t0.created_at > '2021-01-01' AND t1.event_id = 305 GROUP BY t0.user_id ORDER BY t1.payload DESC ",2,1,1,0,1,1,1,1,0,0,0,0,0,0,232,50000000,5000000,250000,4482892.142331043,0,2
"SELECT t0.val, t0.id FROM small_lookup t0 LIMIT 100 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,51,1000,1000,1000,9965.784284662088,0,0
"SELECT t0.value, t0.ts, t0.id, AVG(t0.id) FROM small_table t0 WHERE t0.ts > '2021-01-01' AND t0.ts BETWEEN '2020-01-01' AND '2022-12-31' GROUP BY t0.id ORDER BY t0.ts DESC LIMIT 1000 ",1,0,2,0,1,1,1,1,1,0,0,0,0,0,182,100,10,1,0.0,0,0
"SELECT t0.id, t0.ts, t0.value, MAX(t0.value) FROM small_table t0 GROUP BY t0.ts ",1,0,0,0,1,1,1,0,0,0,0,0,0,0,79,100,100,5,11.60964047443681,0,1
"SELECT t0.value, t0.id, t0.ts FROM small_table t0 LIMIT 1000 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,60,100,100,100,664.3856189774724,0,0
SELECT t0.ts FROM small_table t0 WHERE t0.value IS NOT NULL ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,100,10,10,33.219280948873624,0,0
"SELECT t2.event_id, t0.user_id FROM clickstream t0 LEFT JOIN user_master t1 ON t0.user_id = t1.user_id INNER JOIN clickstream t2 ON t0.user_id = t2.user_id WHERE t0.ts > '2021-01-01' AND t1.region IS NOT NULL AND t2.event_id IN (14,4,15,39) ORDER BY t2.user_id DESC ",2,2,2,0,1,0,0,1,0,0,0,0,0,0,265,20000000,100000,100000,1660964.0474436812,0,1
"SELECT t1.region, t0.product_id, t1.user_id, SUM(t1.created_at) FROM products t0 RIGHT JOIN user_master t1 ON t0.product_id = t1.user_id WHERE t0.product_id = 270 GROUP BY t0.name HAVING COUNT(1) > 10 LIMIT 50 ",2,1,1,0,1,2,1,0,1,0,0,0,0,0,209,1000000,100000,5000,61438.56189774724,0,1
"SELECT t0.user_id, t0.name, t0.created_at, t0.region, SUM(t0.user_id) FROM user_master t0 GROUP BY t0.created_at LIMIT 100 ",1,0,0,0,1,1,1,0,1,0,0,0,0,0,122,1000000,1000000,50000,780482.0237218406,0,1
"SELECT t0.id, t0.amount, t0.user_id, SUM(t0.transaction_date) FROM big_sales_table t0 GROUP BY t0.amount ",1,0,0,0,1,1,1,0,0,0,0,0,0,0,104,10000000,10000000,500000,9465784.284662087,0,2
"SELECT * FROM (SELECT t0.event_type, t1.price, t0.user_id, t1.order_id FROM clickstream t0 RIGHT JOIN orders t1 ON t0.user_id = t1.user_id WHERE t1.order_date > '2021-01-01' AND t1.order_id IN (53,46,41) ORDER BY t1.user_id DESC ) sub WHERE sub.event_id IS NOT NULL",2,1,1,1,2,0,0,1,0,1,0,0,0,0,265,20000000,2000000,2000000,41863137.138648346,8,2
"SELECT t0.price, t0.user_id, t0.order_date FROM orders t0 ORDER BY t0.order_id DESC ",1,0,0,0,0,0,0,1,0,0,0,0,0,0,83,7000000,7000000,7000000,159172464.43967247,0,1
"SELECT * FROM (SELECT t4.ts, t3.event_id, t4.event_id, t3.user_id FROM huge_events t0 RIGHT JOIN huge_events t1 ON t0.user_id = t1.user_id LEFT JOIN huge_events t2 ON t0.user_id = t2.user_id INNER JOIN huge_events t3 ON t0.user_id = t3.user_id LEFT JOIN clickstream t4 ON t0.user_id = t4.user_id WHERE t0.ts > '2021-01-01' AND t1.ts > '2021-01-01' AND t1.user_id IN (26,94) AND t4.event_id = 650 LIMIT 1000 ) sub WHERE sub.event_id IS NOT NULL",2,4,3,1,2,0,0,0,1,1,0,0,0,0,443,50000000,625,625,5804.820237218405,8,2
"SELECT t1.ts, t0.value, t0.ts FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id WHERE t1.id = 807 LIMIT 50 ",1,1,1,0,0,0,0,0,1,0,0,0,0,0,119,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t0.value FROM small_table t0 LIMIT 50 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,51,100,100,100,664.3856189774724,0,0
"SELECT t0.order_id, t0.order_date, MAX(t0.order_date) FROM orders t0 LEFT JOIN clickstream t1 ON t0.user_id = t1.user_id GROUP BY t1.event_id HAVING COUNT(1) > 10 LIMIT 100 ",2,1,0,0,1,2,1,0,1,0,0,0,0,0,172,20000000,20000000,1000000,19931568.569324173,0,2
"SELECT t0.order_id, t0.order_date, t0.price FROM orders t0 ORDER BY t0.user_id DESC ",1,0,0,0,0,0,0,1,0,0,0,0,0,0,83,7000000,7000000,7000000,159172464.43967247,0,1
"SELECT t0.ts, t0.id, t0.value, MAX(t0.id) FROM small_table t0 WHERE t0.value IS NOT NULL AND t0.id = 515 ORDER BY t0.value DESC ",1,0,1,0,1,1,0,1,0,0,0,0,0,0,127,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t0.ts FROM small_table t0 LEFT JOIN small_table t1 ON t0.id = t1.id WHERE t0.id = 117 AND t1.value IS NOT NULL AND t1.ts > '2021-01-01' ORDER BY t1.value DESC ",1,1,2,0,0,0,0,1,0,0,0,0,0,0,172,100,10,10,33.219280948873624,0,0
"SELECT t0.value, t0.id, t0.ts, AVG(t0.ts) FROM small_table t0 WHERE t0.ts > '2021-01-01' AND t0.value IS NOT NULL GROUP BY t0.id LIMIT 50 ",1,0,1,0,1,1,1,0,1,0,0,0,0,0,137,100,10,1,0.0,0,0
"SELECT t0.ts, t0.id FROM small_table t0 LIMIT 1000 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,50,100,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.ts, t0.value FROM small_table t0 LIMIT 10 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,100,100,100,664.3856189774724,0,0
"SELECT t0.id, COUNT(t0.value) FROM small_table t0 WHERE t0.id IN (97,63,90) AND t0.value IS NOT NULL GROUP BY t0.value LIMIT 50 ",1,0,1,0,1,1,1,0,1,0,0,0,0,0,127,100,10,1,0.0,0,0
"SELECT t0.id, t0.value, t0.ts, MIN(t0.id) FROM small_table t0 GROUP BY t0.id LIMIT 10 ",1,0,0,0,1,1,1,0,1,0,0,0,0,0,85,100,100,5,11.60964047443681,0,0
"SELECT t0.ts, t0.id FROM small_table t0 ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,100,100,100,664.3856189774724,0,0
SELECT t0.id FROM small_table t0 LIMIT 50 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,41,100,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.value, t0.ts, MAX(t0.id) FROM small_table t0 GROUP BY t0.id LIMIT 1000 ",1,0,0,0,1,1,1,0,1,0,0,0,0,0,87,100,100,5,11.60964047443681,0,0
"SELECT t0.ts, t0.value FROM small_table t0 LIMIT 100 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,52,100,100,100,664.3856189774724,0,0
"SELECT t0.value, t0.id, t0.ts, MAX(t0.value) FROM small_table t0 WHERE t0.ts > '2021-01-01' GROUP BY t0.value ORDER BY t0.ts DESC LIMIT 50 ",1,0,1,0,1,1,1,1,1,0,0,0,0,0,138,100,10,1,0.0,0,0
"SELECT t0.user_id, t0.region, t1.event_id, t1.user_id FROM user_master t0 RIGHT JOIN clickstream t1 ON t0.user_id = t1.user_id WHERE t0.name IS NOT NULL AND t0.user_id IN (23,3,49,85) ",2,1,1,0,1,0,0,0,0,0,0,0,0,0,183,20000000,2000000,2000000,41863137.138648346,0,2
"SELECT t0.ts, t0.id FROM small_table t0 WHERE t0.value IS NOT NULL AND t0.ts > '2021-01-01' ORDER BY t0.ts DESC LIMIT 100 ",1,0,1,0,0,0,0,1,1,0,0,0,0,0,121,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t0.val FROM small_lookup t0 WHERE t0.id = 340 ORDER BY t0.id DESC LIMIT 100 ",1,0,1,0,0,0,0,1,1,0,0,0,0,0,89,1000,100,100,664.3856189774724,0,0
"SELECT t0.created_at, t0.name, t0.region, AVG(t0.user_id) FROM user_master t0 GROUP BY t0.user_id HAVING COUNT(1) > 10 ",1,0,0,0,1,2,1,0,0,0,0,0,0,0,118,1000000,1000000,50000,780482.0237218406,0,1
SELECT t1.user_id FROM huge_events t0 INNER JOIN big_sales_table t1 ON t0.user_id = t1.user_id INNER JOIN big_sales_table t2 ON t0.user_id = t2.user_id WHERE t0.ts > '2021-01-01' AND t0.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t1.id = 978 AND t1.amount > 450 AND t2.transaction_date > '2021-01-01' LIMIT 1000 ,2,2,5,0,0,0,0,0,1,0,0,0,0,0,312,50000000,250000,250000,4482892.142331043,0,1
"SELECT t1.user_id, t0.id FROM big_sales_table t0 RIGHT JOIN clickstream t1 ON t0.user_id = t1.user_id LEFT JOIN huge_events t2 ON t0.user_id = t2.user_id WHERE t2.event_id = 980 ORDER BY t0.id DESC LIMIT 10 ",3,2,1,0,0,0,0,1,1,0,0,0,0,0,206,50000000,250000,250000,4482892.142331043,0,1
"SELECT t1.id, t0.id, AVG(t1.value) FROM small_table t0 INNER JOIN small_table t1 ON t0.id = t1.id WHERE t1.value IS NOT NULL AND t1.id IN (84,20,10) GROUP BY t0.ts ",1,1,1,0,1,1,1,0,0,0,0,0,0,0,163,100,10,1,0.0,0,1
"SELECT t1.val, t0.id, t1.id, t0.value FROM small_table t0 RIGHT JOIN small_lookup t1 ON t0.id = t1.id WHERE t1.id = 340 ORDER BY t1.val DESC LIMIT 1000 ",2,1,1,0,0,0,0,1,1,0,0,0,0,0,151,1000,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.ts, t0.value, MAX(t0.id) FROM small_table t0 WHERE t0.ts > '2021-01-01' AND t0.value IS NOT NULL GROUP BY t0.value ORDER BY t0.id DESC LIMIT 50 ",1,0,1,0,1,1,1,1,1,0,0,0,0,0,160,100,10,1,0.0,0,0
"SELECT t0.ts, t0.value, t0.id FROM small_table t0 WHERE t0.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t0.ts > '2021-01-01' ORDER BY t0.ts DESC LIMIT 10 ",1,0,2,0,0,0,0,1,1,0,0,0,0,0,153,100,10,10,33.219280948873624,0,0
"SELECT t0.user_id, t1.user_id, t4.user_id, t3.ts FROM huge_events t0 INNER JOIN huge_events t1 ON t0.user_id = t1.user_id RIGHT JOIN huge_events t2 ON t0.user_id = t2.user_id RIGHT JOIN clickstream t3 ON t0.user_id = t3.user_id RIGHT JOIN huge_events t4 ON t0.user_id = t4.user_id WHERE t0.event_id = 923 AND t0.ts BETWEEN '2020-01-01' AND '2022-12-31' LIMIT 1000 ",2,4,2,0,0,0,0,0,1,0,0,0,0,0,363,50000000,625,625,5804.820237218405,0,1
"SELECT t0.value, t0.id, AVG(t0.id) FROM small_table t0 GROUP BY t0.value HAVING COUNT(1) > 10 ",1,0,0,0,1,2,1,0,0,0,0,0,0,0,93,100,100,5,11.60964047443681,0,1
"SELECT t0.payload, t0.user_id, t1.user_id, t1.payload, COUNT(t1.ts) FROM huge_events t0 RIGHT JOIN huge_events t1 ON t0.user_id = t1.user_id WHERE t0.ts > '2021-01-01' AND t0.user_id = 646 GROUP BY t0.event_id ",1,1,1,0,1,1,1,0,0,0,0,0,0,0,209,50000000,5000000,250000,4482892.142331043,0,2
"SELECT t0.id, t0.value, t0.ts FROM small_table t0 WHERE t0.ts BETWEEN '2020-01-01' AND '2022-12-31' AND t0.ts BETWEEN '2020-01-01' AND '2022-12-31' ",1,0,3,0,0,0,0,0,0,0,0,0,0,0,147,100,10,10,33.219280948873624,0,0
"SELECT t0.id, t0.value, t0.ts, SUM(t0.ts) FROM small_table t0 WHERE t0.ts > '2021-01-01' AND t0.id = 499 GROUP BY t0.id HAVING COUNT(1) > 10 ORDER BY t0.ts DESC LIMIT 100 ",1,0,1,0,1,2,1,1,1,0,0,0,0,0,170,100,10,1,0.0,0,0
SELECT t0.val FROM small_lookup t0 ORDER BY t0.id DESC ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,54,1000,1000,1000,9965.784284662088,0,0
"SELECT t0.id, t0.ts, MAX(t0.value) FROM small_table t0 GROUP BY t0.ts ORDER BY t0.id DESC LIMIT 10 ",1,0,0,0,1,1,1,1,1,0,0,0,0,0,98,100,100,5,11.60964047443681,0,0
SELECT t0.ts FROM small_table t0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,100,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.value, t0.ts FROM small_table t0 ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,100,100,664.3856189774724,0,0
"SELECT t2.payload, t2.event_id, t0.event_id, t2.ts, MIN(t0.event_id) FROM huge_events t0 LEFT JOIN orders t1 ON t0.user_id = t1.user_id INNER JOIN huge_events t2 ON t0.user_id = t2.user_id WHERE t0.user_id = 546 AND t1.order_id IN (75,81) GROUP BY t2.ts ORDER BY t2.event_id DESC ",2,2,1,0,1,1,1,1,0,0,0,0,0,0,279,50000000,250000,12500,170120.50593046015,0,2
SELECT t1.ts FROM small_lookup t0 LEFT JOIN small_table t1 ON t0.id = t1.id LIMIT 10 ,2,1,0,0,0,0,0,0,1,0,0,0,0,0,84,1000,1000,1000,9965.784284662088,0,0
"SELECT t2.price, t1.ts, t1.event_id FROM huge_events t0 RIGHT JOIN huge_events t1 ON t0.user_id = t1.user_id INNER JOIN orders t2 ON t0.user_id = t2.user_id WHERE t0.payload IS NOT NULL AND t0.payload IS NOT NULL AND t1.event_id = 97 AND t1.payload IS NOT NULL AND t2.order_id = 758 ",2,2,4,0,0,0,0,0,0,0,0,0,0,0,282,50000000,250000,250000,4482892.142331043,0,1
"SELECT t0.value, t0.ts, COUNT(t0.value) FROM small_table t0 LIMIT 1000 ",1,0,0,0,1,1,0,0,1,0,0,0,0,0,70,100,100,100,664.3856189774724,0,0
"SELECT t1.value FROM small_table t0 RIGHT JOIN small_table t1 ON t0.id = t1.id WHERE t0.id = 122 AND t0.id IN (58,11) LIMIT 10 ",1,1,1,0,1,0,0,0,1,0,0,0,0,0,126,100,10,10,33.219280948873624,0,0
SELECT t0.value FROM small_table t0 WHERE t0.value IS NOT NULL AND t0.id = 121 LIMIT 10 ,1,0,1,0,0,0,0,0,1,0,0,0,0,0,87,100,10,10,33.219280948873624,0,0
"SELECT t1.event_id, t1.event_type, t0.payload FROM huge_events t0 INNER JOIN clickstream t1 ON t0.user_id = t1.user_id WHERE t0.event_id = 186 ORDER BY t0.event_id DESC ",2,1,1,0,0,0,0,1,0,0,0,0,0,0,168,50000000,5000000,5000000,111267483.32105768,0,2
"SELECT t0.value, t0.ts, t0.id FROM small_table t0 LIMIT 100 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,59,100,100,100,664.3856189774724,0,0
"SELECT t1.price, t1.order_date, t2.order_id, t1.order_id, AVG(t0.transaction_date) FROM big_sales_table t0 RIGHT JOIN orders t1 ON t0.user_id = t1.user_id RIGHT JOIN orders t2 ON t0.user_id = t2.user_id WHERE t1.price > 113 GROUP BY t2.order_id LIMIT 1000 ",2,2,1,0,1,1,1,0,1,0,0,0,0,0,255,10000000,50000,2500,28219.28094887362,0,1
"SELECT t0.id, MIN(t0.value) FROM small_table t0 ",1,0,0,0,1,1,0,0,0,0,0,0,0,0,47,100,100,100,664.3856189774724,0,0
"SELECT t0.id, t0.ts, t0.value FROM small_table t0 WHERE t0.id IN (26,81,19) LIMIT 10 ",1,0,1,0,1,0,0,0,1,0,0,0,0,0,84,100,10,10,33.219280948873624,0,0
"SELECT t0.ts, t0.id, t0.value, AVG(t0.value) FROM small_table t0 WHERE t0.id = 677 AND t0.ts BETWEEN '2020-01-01' AND '2022-12-31' GROUP BY t0.id HAVING COUNT(1) > 10 LIMIT 100 ",1,0,2,0,1,2,1,0,1,0,0,0,0,0,176,100,10,1,0.0,0,0
"SELECT t0.user_id, t0.transaction_date, t1.price, MIN(t1.user_id) FROM big_sales_table t0 RIGHT JOIN orders t1 ON t0.user_id = t1.user_id WHERE t1.order_date > '2021-01-01' AND t1.price > 419 GROUP BY t0.transaction_date ORDER BY t1.price DESC LIMIT 1000 ",2,1,1,0,1,1,1,1,1,0,0,0,0,0,254,10000000,1000000,50000,780482.0237218406,0,1
"SELECT t0.ts, t0.id, t0.value FROM small_table t0 LIMIT 10 ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,100,100,100,664.3856189774724,0,0
"SELECT t2.user_id, t3.user_id, t3.ts, COUNT(t4.payload) FROM huge_events t0 INNER JOIN huge_events t1 ON t0.user_id = t1.user_id LEFT JOIN clickstream t2 ON t0.user_id = t2.user_id LEFT JOIN huge_events t3 ON t0.user_id = t3.user_id RIGHT JOIN huge_events t4 ON t0.user_id = t4.user_id WHERE t4.event_id IN (13,88,17) AND t4.ts BETWEEN '2020-01-01' AND '2022-12-31' GROUP BY t2.ts ",2,4,2,0,1,1,1,0,0,0,0,0,0,0,380,50000000,625,31,153.58008562199313,0,2
SELECT t0.ts FROM small_table t0 INNER JOIN small_table t1 ON t0.id = t1.id WHERE t1.value IS NOT NULL AND t1.id = 351 ORDER BY t0.ts DESC ,1,1,1,0,0,0,0,1,0,0,0,0,0,0,138,100,10,10,33.219280948873624,0,0
"SELECT t0.value, t0.ts FROM small_table t0 ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,100,100,100,664.3856189774724,0,0
"SELECT t1.ts, MAX(t3.id) FROM products t0 INNER JOIN huge_events t1 ON t0.product_id = t1.event_id RIGHT JOIN clickstream t2 ON t0.product_id = t2.event_id INNER JOIN big_sales_table t3 ON t0.product_id = t3.id LEFT JOIN clickstream t4 ON t0.product_id = t4.event_id WHERE t1.user_id IN (32,98,64,28) AND t1.user_id = 257 AND t2.event_id IN (31,20,33) AND t2.event_id IN (89,100) AND t4.event_id IN (10,83,72,11) AND t4.user_id IN (60,88,83,20) ",4,4,5,0,1,1,0,0,0,0,0,0,0,0,444,50000000,625,625,5804.820237218405,0,2
SELECT t0.ts FROM small_table t0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,100,100,100,664.3856189774724,0,0
"SELECT t0.value, t0.id, t0.ts, MIN(t0.id) FROM small_table t0 WHERE t0.id = 602 GROUP BY t0.id HAVING COUNT(1) > 10 ",1,0,1,0,1,2,1,0,0,0,0,0,0,0,115,100,10,1,0.0,0,1
"SELECT t0.value, t0.id, t0.ts, AVG(t0.id) FROM small_table t0 GROUP BY t0.id ",1,0,0,0,1,1,1,0,0,0,0,0,0,0,76,100,100,5,11.60964047443681,0,1
"SELECT t0.ts, t0.id FROM small_table t0 WHERE t0.id = 931 ORDER BY t0.ts DESC ",1,0,1,0,0,0,0,1,0,0,0,0,0,0,77,100,10,10,33.219280948873624,0,0
SELECT t0.id FROM small_table t0 LIMIT 50 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,41,100,100,100,664.3856189774724,0,0
